director,movie,rank,year,critic_cn,critic,critic_org
Aleksey German, Hard to Be a God ,5,2013,UK,Robbie Collin,The Telegraph
George Miller, Mad Max: Fury Road ,6,2015,UK,Robbie Collin,The Telegraph
Paul Thomas Anderson, There Will Be Blood ,7,2007,UK,Robbie Collin,The Telegraph
Sofia Coppola, Lost in Translation ,8,2003,UK,Robbie Collin,The Telegraph
Larry Charles, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,9,2006,UK,Robbie Collin,The Telegraph
Roy Andersson," You, The Living ",10,2007,UK,Robbie Collin,The Telegraph
George Miller, Mad Max: Fury Road ,1,2015,US,Scott Collura,IGN
Sofia Coppola, Lost in Translation ,2,2003,US,Scott Collura,IGN
Tomas Alfredson, Let the Right One In ,3,2008,US,Scott Collura,IGN
Harmony Korine, Spring Breakers ,4,2012,US,Scott Collura,IGN
Alfonso Cuarón, Children of Men ,5,2006,US,Scott Collura,IGN
Don Hertzfeldt, World of Tomorrow ,6,2015,US,Scott Collura,IGN
Alex Garland, Ex Machina ,7,2015,US,Scott Collura,IGN
Joss Whedon, The Avengers ,8,2012,US,Scott Collura,IGN
Spike Jonze, Her ,9,2013,US,Scott Collura,IGN
Quentin Tarantino, Kill Bill: Vol. 2 ,10,2004,US,Scott Collura,IGN
Edward Yang, Yi Yi: A One and a Two ,1,2000,US,Colin Covert,Minneapolis Star-Tribune
David Lynch, Mulholland Drive ,2,2001,US,Colin Covert,Minneapolis Star-Tribune
Alfonso Cuarón, Children of Men ,3,2006,US,Colin Covert,Minneapolis Star-Tribune
Kenneth Lonergan, Manchester by the Sea ,4,2016,US,Colin Covert,Minneapolis Star-Tribune
Spike Jonze, Adaptation ,5,2002,US,Colin Covert,Minneapolis Star-Tribune
Bong Joon-ho, The Host ,6,2006,US,Colin Covert,Minneapolis Star-Tribune
Neill Blomkamp, District 9 ,7,2009,US,Colin Covert,Minneapolis Star-Tribune
Fernando Meirelles and Kátia Lund, City of God ,8,2002,US,Colin Covert,Minneapolis Star-Tribune
Whit Stillman, Love & Friendship ,9,2016,US,Colin Covert,Minneapolis Star-Tribune
Nuri Bilge Ceylan, Distant ,10,2002,US,Colin Covert,Minneapolis Star-Tribune
Kim Ki-duk, 3-Iron ,1,2004,Philippines,Oggs Cruz,Rappler.com
Edward Yang, Yi Yi: A One and a Two ,2,2000,Philippines,Oggs Cruz,Rappler.com
David Lynch, Mulholland Drive ,3,2001,Philippines,Oggs Cruz,Rappler.com
Apichatpong Weerasethakul, Syndromes and a Century ,4,2006,Philippines,Oggs Cruz,Rappler.com
Lav Diaz, Evolution of a Filipino Family ,5,2004,Philippines,Oggs Cruz,Rappler.com
Kiyoshi Kurosawa, Pulse ,6,2001,Philippines,Oggs Cruz,Rappler.com
Werner Herzog, Cave of Forgotten Dreams ,7,2010,Philippines,Oggs Cruz,Rappler.com
Takahisa Zeze, Heaven's Story ,8,2010,Philippines,Oggs Cruz,Rappler.com
Lav Diaz," Norte, the End of History ",9,2013,Philippines,Oggs Cruz,Rappler.com
Hayao Miyazaki, Spirited Away ,10,2001,Philippines,Oggs Cruz,Rappler.com
Ang Lee," Crouching Tiger, Hidden Dragon ",1,2000,US,Ken Dancyger,New York University
Paul Thomas Anderson, There Will Be Blood ,2,2007,US,Ken Dancyger,New York University
Roman Polanski, The Pianist ,3,2002,US,Ken Dancyger,New York University
Steven Spielberg, Lincoln ,4,2012,US,Ken Dancyger,New York University
Ang Lee, Life of Pi ,5,2012,US,Ken Dancyger,New York University
Clint Eastwood, Mystic River ,6,2003,US,Ken Dancyger,New York University
László Nemes, Son of Saul ,7,2015,US,Ken Dancyger,New York University
David O. Russell, American Hustle ,8,2013,US,Ken Dancyger,New York University
Michael Haneke, The White Ribbon ,9,2009,US,Ken Dancyger,New York University
Susanne Bier, After the Wedding ,10,2006,US,Ken Dancyger,New York University
Michel Gondry, Eternal Sunshine of the Spotless Mind ,1,2004,US,Erik Davis,Fandango
Richard Linklater, Boyhood ,2,2014,US,Erik Davis,Fandango
Christopher Nolan, Memento ,3,2000,US,Erik Davis,Fandango
Paul Thomas Anderson, There Will Be Blood ,4,2007,US,Erik Davis,Fandango
Christopher Nolan, The Dark Knight ,5,2008,US,Erik Davis,Fandango
Joel and Ethan Coen, Inside Llewyn Davis ,6,2013,US,Erik Davis,Fandango
Andrew Stanton, Finding Nemo ,7,2003,US,Erik Davis,Fandango
George Miller, Mad Max: Fury Road ,8,2015,US,Erik Davis,Fandango
Quentin Tarantino, Inglourious Basterds ,9,2009,US,Erik Davis,Fandango
Alfonso Cuarón, Gravity ,10,2013,US,Erik Davis,Fandango
Terrence Malick, The Tree of Life ,1,2011,US,Peter Debruge,Variety
Edward Yang, Yi Yi: A One and a Two ,2,2000,US,Peter Debruge,Variety
Lee Chang-dong, Secret Sunshine ,3,2007,US,Peter Debruge,Variety
Michel Gondry, Eternal Sunshine of the Spotless Mind ,4,2004,US,Peter Debruge,Variety
Michael Haneke, Amour ,5,2012,US,Peter Debruge,Variety
Luca Guadagnino, I Am Love ,6,2009,US,Peter Debruge,Variety
László Nemes, Son of Saul ,7,2015,US,Peter Debruge,Variety
Andrew Stanton, WALL-E ,8,2008,US,Peter Debruge,Variety
Jørgen Leth and Lars von Trier, The Five Obstructions ,9,2003,US,Peter Debruge,Variety
Larry Charles, Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,10,2006,US,Peter Debruge,Variety
Wong Kar-wai, In the Mood for Love ,1,2000,Belgium,Fernand Denis,La Libre Belgique
PaweÅ Pawlikowski, Ida ,2,2013,Belgium,Fernand Denis,La Libre Belgique
Richard Linklater, Boyhood ,3,2014,Belgium,Fernand Denis,La Libre Belgique
László Nemes, Son of Saul ,4,2015,Belgium,Fernand Denis,La Libre Belgique
Hirokazu Koreeda, Nobody Knows ,5,2004,Belgium,Fernand Denis,La Libre Belgique
Pedro Almodóvar, Talk to Her ,6,2002,Belgium,Fernand Denis,La Libre Belgique
Alejandro González Iñárritu, Amores Perros ,7,2000,Belgium,Fernand Denis,La Libre Belgique
Damián Szifrón, Wild Tales ,8,2014,Belgium,Fernand Denis,La Libre Belgique
Bouli Lanners, Eldorado ,9,2008,Belgium,Fernand Denis,La Libre Belgique
Xavier Dolan, Mommy ,10,2014,Belgium,Fernand Denis,La Libre Belgique
John Akomfrah, The Stuart Hall Project ,1,2013,UK,Lindiwe Dovey,University of London
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,2,2010,UK,Lindiwe Dovey,University of London
Khalo Matabane, A Letter to Nelson Mandela ,3,2013,UK,Lindiwe Dovey,University of London
Abderrahmane Sissako, Waiting for Happiness ,4,2002,UK,Lindiwe Dovey,University of London
Judy Kibinge, Something Necessary ,5,2013,UK,Lindiwe Dovey,University of London
Ousmane Sembène, Moolaadé ,6,2004,UK,Lindiwe Dovey,University of London
Samba Gadjigo and Jason Silverman, Sembène! ,7,2015,UK,Lindiwe Dovey,University of London
Emad Burnat and Guy Davidi, 5 Broken Cameras ,8,2011,UK,Lindiwe Dovey,University of London
Nanfu Wang, Hooligan Sparrow ,9,2016,UK,Lindiwe Dovey,University of London
"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong", 7 Letters ,10,2015,UK,Lindiwe Dovey,University of London
Charlie Kaufman," Synecdoche, New York ",1,2008,US,Alonso Duralde,TheWrap
Ang Lee, Brokeback Mountain ,2,2005,US,Alonso Duralde,TheWrap
Andrew Haigh, Weekend ,3,2011,US,Alonso Duralde,TheWrap
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",4,2007,US,Alonso Duralde,TheWrap
Hayao Miyazaki, Spirited Away ,5,2001,US,Alonso Duralde,TheWrap
David France, How to Survive a Plague ,6,2012,US,Alonso Duralde,TheWrap
Pedro Almodóvar, Talk to Her ,7,2002,US,Alonso Duralde,TheWrap
Robert Pulcini and Shari Springer Berman, American Splendor ,8,2003,US,Alonso Duralde,TheWrap
Wong Kar-wai, In the Mood for Love ,9,2000,US,Alonso Duralde,TheWrap
Todd Haynes, Far From Heaven ,10,2002,US,Alonso Duralde,TheWrap
Terrence Malick, The Tree of Life ,1,2011,US,Bilge Ebiri,The Village Voice
George Miller, Mad Max: Fury Road ,2,2015,US,Bilge Ebiri,The Village Voice
Spike Lee, 25th Hour ,3,2002,US,Bilge Ebiri,The Village Voice
Travis Wilkerson, An Injury to One ,4,2002,US,Bilge Ebiri,The Village Voice
Gina Prince-Bythewood, Love & Basketball ,5,2000,US,Bilge Ebiri,The Village Voice
Wong Kar-wai, In the Mood for Love ,6,2000,US,Bilge Ebiri,The Village Voice
Abderrahmane Sissako, Timbuktu ,7,2014,US,Bilge Ebiri,The Village Voice
Nuri Bilge Ceylan, Once Upon a Time in Anatolia ,8,2011,US,Bilge Ebiri,The Village Voice
Don Hertzfeldt, It's Such a Beautiful Day ,9,2012,US,Bilge Ebiri,The Village Voice
Robert Greene, Actress ,10,2014,US,Bilge Ebiri,The Village Voice
Sofia Coppola, Lost in Translation ,1,2003,US,David Ehrlich,IndieWire
Todd Haynes, Carol ,2,2015,US,David Ehrlich,IndieWire
Edward Yang, Yi Yi: A One and a Two ,3,2000,US,David Ehrlich,IndieWire
Lars von Trier, Dancer in the Dark ,4,2000,US,David Ehrlich,IndieWire
Abbas Kiarostami, Certified Copy ,5,2010,US,David Ehrlich,IndieWire
Hayao Miyazaki, The Wind Rises ,6,2013,US,David Ehrlich,IndieWire
Don Hertzfeldt, World of Tomorrow ,7,2015,US,David Ehrlich,IndieWire
David Lynch, Mulholland Drive ,8,2001,US,David Ehrlich,IndieWire
Claire Denis, 35 Shots of Rum ,9,2008,US,David Ehrlich,IndieWire
Jacob Krupnick, Girl Walk: All Day ,10,2011,US,David Ehrlich,IndieWire
Joel and Ethan Coen, Inside Llewyn Davis ,1,2013,US,Kate Erbland,IndieWire
Cameron Crowe, Almost Famous ,2,2000,US,Kate Erbland,IndieWire
Michael Mann, Collateral ,3,2004,US,Kate Erbland,IndieWire
John Crowley, Brooklyn ,4,2015,US,Kate Erbland,IndieWire
Dan Gilroy, Nightcrawler ,5,2014,US,Kate Erbland,IndieWire
Jeff Nichols, Take Shelter ,6,2011,US,Kate Erbland,IndieWire
Wes Anderson, Fantastic Mr Fox ,7,2009,US,Kate Erbland,IndieWire
Asif Kapadia, Senna ,8,2010,US,Kate Erbland,IndieWire
Noah Baumbach, Frances Ha ,9,2012,US,Kate Erbland,IndieWire
Yorgos Lanthimos, Dogtooth ,10,2009,US,Kate Erbland,IndieWire
Roy Andersson, A Pigeon Sat on a Branch Reflecting on Existence ,1,2014,Cuba,Mario Espinosa,Cinemateca de Cuba
Joshua Oppenheimer, The Act of Killing ,2,2012,Cuba,Mario Espinosa,Cinemateca de Cuba
Yorgos Lanthimos, Dogtooth ,3,2009,Cuba,Mario Espinosa,Cinemateca de Cuba
Andrzej Wajda, Katyn ,4,2007,Cuba,Mario Espinosa,Cinemateca de Cuba
Kim Ki-duk, 3-Iron ,5,2004,Cuba,Mario Espinosa,Cinemateca de Cuba
Michael Haneke, Caché ,6,2005,Cuba,Mario Espinosa,Cinemateca de Cuba
David Lynch, Mulholland Drive ,7,2001,Cuba,Mario Espinosa,Cinemateca de Cuba
Ari Folman, The Congress ,8,2013,Cuba,Mario Espinosa,Cinemateca de Cuba
Park Chan-wook, Sympathy for Mr Vengeance ,9,2002,Cuba,Mario Espinosa,Cinemateca de Cuba
Charlie Kaufman," Synecdoche, New York ",10,2008,Cuba,Mario Espinosa,Cinemateca de Cuba
Edward Yang, Yi Yi: A One and a Two ,1,2000,Egypt,Joseph Fahim,Freelance film critic
Paul Thomas Anderson, There Will Be Blood ,2,2007,Egypt,Joseph Fahim,Freelance film critic
Richard Linklater, Boyhood ,3,2014,Egypt,Joseph Fahim,Freelance film critic
Jia Zhangke, Still Life ,4,2006,Egypt,Joseph Fahim,Freelance film critic
Joanna Hogg, Archipelago ,5,2010,Egypt,Joseph Fahim,Freelance film critic
Lucrecia Martel, The Headless Woman ,6,2008,Egypt,Joseph Fahim,Freelance film critic
Joshua Oppenheimer, The Act of Killing ,7,2012,Egypt,Joseph Fahim,Freelance film critic
Michael Haneke, Caché ,8,2005,Egypt,Joseph Fahim,Freelance film critic
Elia Suleiman, Divine Intervention ,9,2002,Egypt,Joseph Fahim,Freelance film critic
Jafar Panahi, Crimson Gold ,10,2003,Egypt,Joseph Fahim,Freelance film critic
David Fincher, Zodiac ,1,2007,US,Devin Faraci,Birth.Movies.Death.
Joel and Ethan Coen, Inside Llewyn Davis ,2,2013,US,Devin Faraci,Birth.Movies.Death.
Paul Thomas Anderson, There Will Be Blood ,3,2007,US,Devin Faraci,Birth.Movies.Death.
Sam Raimi, Spider-Man 2 ,4,2004,US,Devin Faraci,Birth.Movies.Death.
Park Chan-wook, Oldboy ,5,2003,US,Devin Faraci,Birth.Movies.Death.
Quentin Tarantino, Inglourious Basterds ,6,2009,US,Devin Faraci,Birth.Movies.Death.
Chris Buck and Jennifer Lee, Frozen ,7,2013,US,Devin Faraci,Birth.Movies.Death.
Spike Lee, 25th Hour ,8,2002,US,Devin Faraci,Birth.Movies.Death.
Darren Aronofsky, Requiem for a Dream ,9,2000,US,Devin Faraci,Birth.Movies.Death.
Edgar Wright, Shaun of the Dead ,10,2004,US,Devin Faraci,Birth.Movies.Death.
Paul Thomas Anderson, There Will Be Blood ,1,2007,US,David Fear,Rolling Stone
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",2,2007,US,David Fear,Rolling Stone
Edward Yang, Yi Yi: A One and a Two ,3,2000,US,David Fear,Rolling Stone
Steve McQueen, Shame ,4,2011,US,David Fear,Rolling Stone
Richard Linklater, Boyhood ,5,2014,US,David Fear,Rolling Stone
David Fincher, The Social Network ,6,2010,US,David Fear,Rolling Stone
Kenneth Lonergan, Manchester by the Sea ,7,2016,US,David Fear,Rolling Stone
David Lynch, Mulholland Drive ,8,2001,US,David Fear,Rolling Stone
Fatih Akin, Head-On ,9,2004,US,David Fear,Rolling Stone
Wong Kar-wai, In the Mood for Love ,10,2000,US,David Fear,Rolling Stone
Alexander Payne, Sideways ,1,2004,US,Scott Feinberg,The Hollywood Reporter
David Fincher, The Social Network ,2,2010,US,Scott Feinberg,The Hollywood Reporter
Charlie Kaufman," Synecdoche, New York ",3,2008,US,Scott Feinberg,The Hollywood Reporter
Julian Schnabel, The Diving Bell and the Butterfly ,4,2007,US,Scott Feinberg,The Hollywood Reporter
Lars von Trier, Dogville ,5,2003,US,Scott Feinberg,The Hollywood Reporter
Destin Daniel Cretton, Short Term 12 ,6,2013,US,Scott Feinberg,The Hollywood Reporter
Andrew Stanton, WALL-E ,7,2008,US,Scott Feinberg,The Hollywood Reporter
Derek Cianfrance, Blue Valentine ,8,2010,US,Scott Feinberg,The Hollywood Reporter
Noah Baumbach, The Squid and the Whale ,9,2005,US,Scott Feinberg,The Hollywood Reporter
Joel and Ethan Coen, A Serious Man ,10,2009,US,Scott Feinberg,The Hollywood Reporter
Clint Eastwood, Jersey Boys ,1,2014,Argentina,Javier Porta Fouz,La Nacion
Baz Luhrmann, Moulin Rouge! ,2,2001,Argentina,Javier Porta Fouz,La Nacion
Fabián Bielinsky, Nine Queens ,3,2000,Argentina,Javier Porta Fouz,La Nacion
Nanni Moretti, Mia Madre ,4,2015,Argentina,Javier Porta Fouz,La Nacion
Hong Sang-soo," Right Now, Wrong Then ",5,2015,Argentina,Javier Porta Fouz,La Nacion
Lee Unkrich, Toy Story 3 ,6,2010,Argentina,Javier Porta Fouz,La Nacion
George Miller, Mad Max: Fury Road ,7,2015,Argentina,Javier Porta Fouz,La Nacion
Hayao Miyazaki, Spirited Away ,8,2001,Argentina,Javier Porta Fouz,La Nacion
Greg Mottola, Adventureland ,9,2009,Argentina,Javier Porta Fouz,La Nacion
Kevin Costner, Open Range ,10,2003,Argentina,Javier Porta Fouz,La Nacion
Jia Zhangke, The World ,1,2004,US,Kenji Fujishima,Freelance film critic
John Gianvito, Profit Motive and the Whispering Wind ,2,2007,US,Kenji Fujishima,Freelance film critic
Quentin Tarantino, Inglourious Basterds ,3,2009,US,Kenji Fujishima,Freelance film critic
Kiyoshi Kurosawa, Pulse ,4,2001,US,Kenji Fujishima,Freelance film critic
Apichatpong Weerasethakul, Syndromes and a Century ,5,2006,US,Kenji Fujishima,Freelance film critic
Frederick Wiseman, In Jackson Heights ,6,2015,US,Kenji Fujishima,Freelance film critic
Charlie Kaufman," Synecdoche, New York ",7,2008,US,Kenji Fujishima,Freelance film critic
Sion Sono, Love Exposure ,8,2008,US,Kenji Fujishima,Freelance film critic
Terrence Malick, The Tree of Life ,9,2011,US,Kenji Fujishima,Freelance film critic
Martin Campbell, Casino Royale ,10,2006,US,Kenji Fujishima,Freelance film critic
Park Chan-wook, Oldboy ,1,2003,Chile,Ernesto Garratt,El Mercurio
Alfonso Cuarón, Children of Men ,2,2006,Chile,Ernesto Garratt,El Mercurio
David Lynch, Mulholland Drive ,3,2001,Chile,Ernesto Garratt,El Mercurio
Juan José Campanella, The Secret in Their Eyes ,4,2009,Chile,Ernesto Garratt,El Mercurio
Denis Villeneuve, Sicario ,5,2015,Chile,Ernesto Garratt,El Mercurio
Pablo Larraín, No ,6,2012,Chile,Ernesto Garratt,El Mercurio
Richard Kelly, Donnie Darko ,7,2001,Chile,Ernesto Garratt,El Mercurio
Michel Gondry, Eternal Sunshine of the Spotless Mind ,8,2004,Chile,Ernesto Garratt,El Mercurio
David Fincher, The Social Network ,9,2010,Chile,Ernesto Garratt,El Mercurio
Damien Chazelle, Whiplash ,10,2014,Chile,Ernesto Garratt,El Mercurio
Alex Garland, Ex Machina ,1,2015,US,Steven Gaydos,Variety
Pete Docter, Inside Out ,2,2015,US,Steven Gaydos,Variety
David Michôd, Animal Kingdom ,3,2010,US,Steven Gaydos,Variety
Mel Gibson, Apocalypto ,4,2006,US,Steven Gaydos,Variety
Nuri Bilge Ceylan, Three Monkeys ,5,2008,US,Steven Gaydos,Variety
Andrew Stanton, WALL-E ,6,2008,US,Steven Gaydos,Variety
Stevan Riley, Listen to Me Marlon ,7,2015,US,Steven Gaydos,Variety
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",8,2007,US,Steven Gaydos,Variety
Adam McKay, Talladega Nights: The Ballad of Ricky Bobby ,9,2006,US,Steven Gaydos,Variety
Ermanno Olmi, Centochiodi ,10,2007,US,Steven Gaydos,Variety
Paul Greengrass, United 93 ,1,2006,US,Noah Gittell,Washington City Paper
David Fincher, Zodiac ,2,2007,US,Noah Gittell,Washington City Paper
Paul Feig, Bridesmaids ,3,2011,US,Noah Gittell,Washington City Paper
Andrew Stanton, WALL-E ,4,2008,US,Noah Gittell,Washington City Paper
John Crowley, Brooklyn ,5,2015,US,Noah Gittell,Washington City Paper
Joshua Oppenheimer, The Look of Silence ,6,2014,US,Noah Gittell,Washington City Paper
Paul Thomas Anderson, Punch-Drunk Love ,7,2002,US,Noah Gittell,Washington City Paper
Steve McQueen, 12 Years a Slave ,8,2013,US,Noah Gittell,Washington City Paper
Michel Gondry, Eternal Sunshine of the Spotless Mind ,9,2004,US,Noah Gittell,Washington City Paper
Lynne Ramsay, We Need to Talk About Kevin ,10,2011,US,Noah Gittell,Washington City Paper
Todd Haynes, Far From Heaven ,1,2002,US,Owen Gleiberman,Variety
Miguel Arteta, Chuck & Buck ,2,2000,US,Owen Gleiberman,Variety
Ridley Scott, Gladiator ,3,2000,US,Owen Gleiberman,Variety
Adam Curtis, The Century of the Self ,4,2002,US,Owen Gleiberman,Variety
Baz Luhrmann, Moulin Rouge! ,5,2001,US,Owen Gleiberman,Variety
Steven Spielberg, Munich ,6,2005,US,Owen Gleiberman,Variety
Martin Campbell, Casino Royale ,7,2006,US,Owen Gleiberman,Variety
Lukas Moodysson, Lilya 4-Ever ,8,2002,US,Owen Gleiberman,Variety
Alexander Payne, Sideways ,9,2004,US,Owen Gleiberman,Variety
Quentin Tarantino, Inglourious Basterds ,10,2009,US,Owen Gleiberman,Variety
David Lynch, Mulholland Drive ,1,2001,US,Ed Gonzalez,Slant Magazine
Wong Kar-wai, In the Mood for Love ,2,2000,US,Ed Gonzalez,Slant Magazine
Terrence Malick, The New World ,3,2005,US,Ed Gonzalez,Slant Magazine
Abbas Kiarostami, Certified Copy ,4,2010,US,Ed Gonzalez,Slant Magazine
Brian De Palma, Femme Fatale ,5,2002,US,Ed Gonzalez,Slant Magazine
Kenneth Lonergan, Margaret ,6,2011,US,Ed Gonzalez,Slant Magazine
Jonathan Glazer, Under the Skin ,7,2013,US,Ed Gonzalez,Slant Magazine
Mojtaba Mirtahmasb and Jafar Panahi, This Is Not a Film ,8,2011,US,Ed Gonzalez,Slant Magazine
James Gray, Two Lovers ,9,2008,US,Ed Gonzalez,Slant Magazine
Laurie Anderson, Heart of a Dog ,10,2015,US,Ed Gonzalez,Slant Magazine
Wong Kar-wai, In the Mood for Love ,1,2000,Colombia,Juan Carlos González,El Tiempo
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",2,2007,Colombia,Juan Carlos González,El Tiempo
Asghar Farhadi, A Separation ,3,2011,Colombia,Juan Carlos González,El Tiempo
László Nemes, Son of Saul ,4,2015,Colombia,Juan Carlos González,El Tiempo
Gus Van Sant, Elephant ,5,2003,Colombia,Juan Carlos González,El Tiempo
Jacques Audiard, A Prophet ,6,2009,Colombia,Juan Carlos González,El Tiempo
Paul Thomas Anderson, There Will Be Blood ,7,2007,Colombia,Juan Carlos González,El Tiempo
Florian Henckel von Donnersmarck, The Lives of Others ,8,2006,Colombia,Juan Carlos González,El Tiempo
Noah Baumbach, Frances Ha ,9,2012,Colombia,Juan Carlos González,El Tiempo
Michel Gondry, Eternal Sunshine of the Spotless Mind ,10,2004,Colombia,Juan Carlos González,El Tiempo
Béla Tarr and Ágnes Hranitzky, Werckmeister Harmonies ,1,2000,Germany,Carmen Gray,Berlin Critics’ Week
Joshua Oppenheimer, The Act of Killing ,2,2012,Germany,Carmen Gray,Berlin Critics’ Week
Claire Denis, White Material ,3,2009,Germany,Carmen Gray,Berlin Critics’ Week
Jean-Gabriel Périot, Even If She Had Been a Criminal... ,4,2006,Germany,Carmen Gray,Berlin Critics’ Week
Harmony Korine, Spring Breakers ,5,2012,Germany,Carmen Gray,Berlin Critics’ Week
Wong Kar-wai, In the Mood for Love ,6,2000,Germany,Carmen Gray,Berlin Critics’ Week
Alain Guiraudie, Stranger by the Lake ,7,2013,Germany,Carmen Gray,Berlin Critics’ Week
Pedro Costa, Colossal Youth ,8,2006,Germany,Carmen Gray,Berlin Critics’ Week
Albert Serra, Story of My Death ,9,2013,Germany,Carmen Gray,Berlin Critics’ Week
Cristi Puiu, Aurora ,10,2010,Germany,Carmen Gray,Berlin Critics’ Week
Lars von Trier, Dogville ,1,2003,US,Tim Grierson,Screen International
David Fincher, Zodiac ,2,2007,US,Tim Grierson,Screen International
Paul Thomas Anderson, There Will Be Blood ,3,2007,US,Tim Grierson,Screen International
Joel and Ethan Coen, Inside Llewyn Davis ,4,2013,US,Tim Grierson,Screen International
Edward Yang, Yi Yi: A One and a Two ,5,2000,US,Tim Grierson,Screen International
Béla Tarr and Ágnes Hranitzky, The Turin Horse ,6,2011,US,Tim Grierson,Screen International
Paul Thomas Anderson, The Master ,7,2012,US,Tim Grierson,Screen International
Don Hertzfeldt, It's Such a Beautiful Day ,8,2012,US,Tim Grierson,Screen International
Richard Linklater, Boyhood ,9,2014,US,Tim Grierson,Screen International
Martin Scorsese, Shutter Island ,10,2010,US,Tim Grierson,Screen International
Ingmar Bergman, Saraband ,1,2003,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Christopher Nolan, Memento ,2,2000,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Abdellatif Kechiche, Blue Is the Warmest Color ,3,2013,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Andrey Zvyagintsev, The Return ,4,2003,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Michael Haneke, Amour ,5,2012,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
David Lynch, Mulholland Drive ,6,2001,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Ulrich Seidl, Import Export ,7,2007,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
László Nemes, Son of Saul ,8,2015,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Quentin Tarantino, Kill Bill: Vol. 1 ,9,2003,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Alejandro González Iñárritu, The Revenant ,10,2015,France,Jean-Philippe Guerand,L'Avant-Scène Cinéma
Apichatpong Weerasethakul, Tropical Malady ,1,2004,France,Antoine Guillot,France Culture
David Lynch, Mulholland Drive ,2,2001,France,Antoine Guillot,France Culture
Béla Tarr and Ágnes Hranitzky, The Turin Horse ,3,2011,France,Antoine Guillot,France Culture
Wang Bing, Tie Xi Qu: West of the Tracks ,4,2002,France,Antoine Guillot,France Culture
Alain Cavalier, Le filmeur ,5,2005,France,Antoine Guillot,France Culture
Leos Carax, Holy Motors ,6,2012,France,Antoine Guillot,France Culture
Gus Van Sant, Elephant ,7,2003,France,Antoine Guillot,France Culture
Jia Zhangke, A Touch of Sin ,8,2013,France,Antoine Guillot,France Culture
Guillermo Del Toro, Pan's Labyrinth ,9,2006,France,Antoine Guillot,France Culture
Hayao Miyazaki, Spirited Away ,10,2001,France,Antoine Guillot,France Culture
Terrence Malick, The New World ,1,2005,US,Tom Gunning,University of Chicago
Ken Jacobs, Capitalism: Child Labor ,2,2007,US,Tom Gunning,University of Chicago
Phil Solomon, Psalm III: 'Night of the Meek' ,3,2002,US,Tom Gunning,University of Chicago
Jean-Luc Godard, Goodbye to Language ,4,2014,US,Tom Gunning,University of Chicago
Lewis Klahr, Daylight Moon ,5,2002,US,Tom Gunning,University of Chicago
Park Chan-wook, Oldboy ,6,2003,US,Tom Gunning,University of Chicago
What a Life!) (Ernie Gehr, A Commuter’s Life (What a Life!) ,7,2014,US,Tom Gunning,University of Chicago
Janie Geiser, The Fourth Watch ,8,2000,US,Tom Gunning,University of Chicago
Nikolaus Geyrhalter, Our Daily Bread ,9,2005,US,Tom Gunning,University of Chicago
Jia Zhangke, The World ,10,2004,US,Tom Gunning,University of Chicago
Rajat Kapoor, Ankhon Dekhi ,1,2013,India,Shubhra Gupta,The Indian Express
Chaitanya Tamhane, Court ,2,2014,India,Shubhra Gupta,The Indian Express
Dibakar Banerjee," LSD: Love, Sex Aur Dhokha ",3,2010,India,Shubhra Gupta,The Indian Express
Mira Nair, Monsoon Wedding ,4,2001,India,Shubhra Gupta,The Indian Express
Anurag Kashyap, Dev D ,5,2009,India,Shubhra Gupta,The Indian Express
Tigmanshu Dhulia, Paan Singh Tomar ,6,2012,India,Shubhra Gupta,The Indian Express
Vikramaditya Motwane, Udaan ,7,2010,India,Shubhra Gupta,The Indian Express
Sudhir Mishra, Hazaaron Khwaishein Aisi ,8,2003,India,Shubhra Gupta,The Indian Express
Vishal Bhardwaj, Maqbool ,9,2003,India,Shubhra Gupta,The Indian Express
Ashutosh Gowariker, Lagaan: Once Upon a Time in India ,10,2001,India,Shubhra Gupta,The Indian Express
Paul Thomas Anderson, There Will Be Blood ,1,2007,Lebanon,Hauvick Habechian,An-Nahar Newspaper
David Lynch, Mulholland Drive ,2,2001,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Steven Spielberg, AI: Artificial Intelligence ,3,2001,Lebanon,Hauvick Habechian,An-Nahar Newspaper
Abdellatif Kechiche, Blue Is the Warmest Color ,4,2013,Lebanon,Hauvick Habechian,An-Nahar Newspaper
